Raker_Height_mm,Flow_Speed_mms,Flow_Regime,Sample_Size,Filtration_Efficiency_Pct
2.0,150.0,Laminar,200,53.00
2.0,250.0,Laminar,200,67.50
2.0,400.0,Laminar,200,92.50
2.0,600.0,Laminar,200,97.50
4.0,150.0,Laminar,200,57.50
4.0,250.0,Laminar,200,97.50
4.0,400.0,Laminar,200,98.50
4.0,600.0,Laminar,200,100.00
6.0,150.0,Laminar,200,69.50
6.0,250.0,Laminar,200,99.50
6.0,400.0,Laminar,200,100.00
6.0,600.0,Laminar,200,100.00
8.0,150.0,Laminar,200,91.00
8.0,250.0,Laminar,200,100.00
8.0,400.0,Laminar,200,100.00
8.0,600.0,Laminar,200,100.00
2.0,150.0,Turbulent,200,49.50
2.0,250.0,Turbulent,200,80.00
2.0,400.0,Turbulent,200,91.00
2.0,600.0,Turbulent,200,95.00
4.0,150.0,Turbulent,200,59.00
4.0,250.0,Turbulent,200,88.00
4.0,400.0,Turbulent,200,95.50
4.0,600.0,Turbulent,200,99.00
6.0,150.0,Turbulent,200,60.00
6.0,250.0,Turbulent,200,88.00
6.0,400.0,Turbulent,200,97.50
6.0,600.0,Turbulent,200,99.50
8.0,150.0,Turbulent,200,74.50
8.0,250.0,Turbulent,200,94.00
8.0,400.0,Turbulent,200,99.00
8.0,600.0,Turbulent,200,100.00
